work_year,experience_level,salary_in_usd,remote_ratio,company_size,job_title,employment_type,company_location,employee_residence,Cluster_Group
2023,SE,85847,100,L,Principal Data Scientist,FT,ES,ES,1
2023,MI,30000,100,S,ML Engineer,CT,US,US,2
2023,MI,25500,100,S,ML Engineer,CT,US,US,2
2023,SE,175000,100,M,Data Scientist,FT,CA,CA,1
2023,SE,120000,100,M,Data Scientist,FT,CA,CA,1
2023,SE,222200,0,L,Applied Scientist,FT,US,US,0
2023,SE,136000,0,L,Applied Scientist,FT,US,US,0
2023,SE,219000,0,M,Data Scientist,FT,CA,CA,0
2023,SE,141000,0,M,Data Scientist,FT,CA,CA,1
2023,SE,147100,0,M,Data Scientist,FT,US,US,0
2023,SE,90700,0,M,Data Scientist,FT,US,US,0
2023,SE,130000,100,M,Data Analyst,FT,US,US,0
2023,SE,100000,100,M,Data Analyst,FT,US,US,0
2023,EN,213660,0,L,Applied Scientist,FT,US,US,0
2023,EN,130760,0,L,Applied Scientist,FT,US,US,0
2023,SE,147100,0,M,Software Data Engineer,FT,US,US,0
2023,SE,90700,0,M,Software Data Engineer,FT,US,US,0
2023,SE,170000,0,M,Data Scientist,FT,US,US,0
2023,SE,150000,0,M,Data Scientist,FT,US,US,0
2023,MI,150000,100,M,Data Analyst,FT,US,US,0
2023,MI,110000,100,M,Data Analyst,FT,US,US,0
2023,SE,275000,0,M,Research Engineer,FT,DE,DE,0
2023,SE,174000,0,M,Research Engineer,FT,DE,DE,1
2023,SE,230000,100,M,Analytics Engineer,FT,GB,GB,1
2023,SE,143200,100,M,Analytics Engineer,FT,GB,GB,1
2023,SE,225000,0,M,Machine Learning Research Engineer,FT,US,US,0
2023,SE,156400,0,M,Machine Learning Research Engineer,FT,US,US,0
2023,SE,200000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,130000,0,M,Machine Learning Engineer,FT,US,US,0
2023,SE,90000,0,M,Software Data Engineer,FT,CA,CA,1
2023,SE,72000,0,M,Software Data Engineer,FT,CA,CA,1
2023,SE,253200,0,M,Data Engineer,FT,US,US,0
2023,SE,90700,0,M,Data Engineer,FT,US,US,0
2023,SE,342810,0,M,Data Analytics Manager,FT,US,US,0
2023,SE,184590,0,M,Data Analytics Manager,FT,US,US,0
2023,MI,162500,0,M,Data Engineer,FT,US,US,0
2023,MI,130000,0,M,Data Engineer,FT,US,US,0
2023,MI,105380,0,M,Data Analyst,FT,US,US,0
2023,MI,64500,0,M,Data Analyst,FT,US,US,0
2023,EN,100000,100,L,Product Data Analyst,FT,NG,NG,1
